id,title,section,type,priority,status,implementation,verification,notes
FR-027,Lock Screen Display,LockEngine,FR,Critical,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-028,Overlay Security,LockEngine,FR,Critical,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-029,Unlock Session Validation,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-030,Immediate Relock,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-031,Screen-Off Relock,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-032,Timeout-Based Relock,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-033,Device Restart Protection,LockEngine,FR,Critical,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-034,Lock Engine Initialization,LockEngine,FR,Critical,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-035,Background Service Persistence,LockEngine,FR,Critical,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-036,Protected Application List Monitoring,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-037,Newly Installed Application Detection,LockEngine,FR,Medium,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-038,Application Removal Detection,LockEngine,FR,Medium,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-039,Multi-Window Support,LockEngine,FR,Medium,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-040,Picture-in-Picture Handling,LockEngine,FR,Medium,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-041,Recent Applications Protection,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-042,Lock Policy Evaluation,LockEngine,FR,Critical,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-043,Accessibility Event Monitoring,LockEngine,FR,Critical,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-044,Overlay Permission Verification,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-045,Accessibility Permission Verification,LockEngine,FR,Critical,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-046,Lock Engine Failure Recovery,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-047,Duplicate Overlay Prevention,LockEngine,FR,Medium,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-048,Overlay Timeout,LockEngine,FR,Medium,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-049,Lock Engine Performance,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-050,Lock Engine Battery Optimization,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-051,Application Switching Detection,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-052,Home Screen Transition Handling,LockEngine,FR,Medium,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-053,Task Switching Handling,LockEngine,FR,High,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-054,Lock Event Logging,LockEngine,FR,Medium,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-055,Lock Engine Health Monitoring,LockEngine,FR,Medium,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
FR-056,Protected Application Selection,ProtectedApplicationsManagement,FR,Critical,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-057,Application Search,ProtectedApplicationsManagement,FR,High,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-058,Application Categorization,ProtectedApplicationsManagement,FR,Medium,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-059,Individual Lock Policies,ProtectedApplicationsManagement,FR,Critical,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-060,Enable/Disable Protection,ProtectedApplicationsManagement,FR,High,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-061,Bulk Protection,ProtectedApplicationsManagement,FR,High,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-062,Bulk Removal,ProtectedApplicationsManagement,FR,Medium,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-063,Default Protection Profile,ProtectedApplicationsManagement,FR,Medium,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-064,Application Profiles,ProtectedApplicationsManagement,FR,High,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-065,Profile Assignment,ProtectedApplicationsManagement,FR,High,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-066,Per-App Authentication Method,ProtectedApplicationsManagement,FR,High,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-067,Per-App Timeout,ProtectedApplicationsManagement,FR,High,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-068,Per-App Lock Schedule,ProtectedApplicationsManagement,FR,High,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-069,Favorite Applications,ProtectedApplicationsManagement,FR,Low,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-070,Automatic Protection Recommendation,ProtectedApplicationsManagement,FR,Medium,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-071,Newly Installed Application Wizard,ProtectedApplicationsManagement,FR,Medium,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-072,Protected Application Icons,ProtectedApplicationsManagement,FR,Low,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-073,Application Information,ProtectedApplicationsManagement,FR,Low,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-074,Application Exclusions,ProtectedApplicationsManagement,FR,Medium,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-075,Hidden Applications,ProtectedApplicationsManagement,FR,High,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-076,Work Profile Support,ProtectedApplicationsManagement,FR,High,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-077,Clone Application Support,ProtectedApplicationsManagement,FR,Medium,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-078,Application Removal Cleanup,ProtectedApplicationsManagement,FR,Medium,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-079,Application Usage Statistics,ProtectedApplicationsManagement,FR,Low,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-080,Protection Configuration Export,ProtectedApplicationsManagement,FR,Medium,review,,,basic protect/unprotect/persist verified; classify per-FR at M1 gate
FR-081,Intruder Selfie Capture,Privacy&Concealment,FR,High,implemented-verified,privacy/,PHASE3 campaign,
FR-082,Intruder Event Logging,Privacy&Concealment,FR,High,implemented-verified,privacy/,PHASE3 campaign,
FR-083,Intruder Location Capture,Privacy&Concealment,FR,Medium,not-started,,,intruder location not built
FR-084,Intruder Notification,Privacy&Concealment,FR,Medium,implemented-verified,privacy/,PHASE3 campaign,
FR-085,Intruder History Viewer,Privacy&Concealment,FR,Medium,implemented-verified,privacy/,PHASE3 campaign,
FR-086,Calculator Disguise Mode,Privacy&Concealment,FR,High,not-started,,,
FR-087,Alternative Application Disguises,Privacy&Concealment,FR,Medium,not-started,,,
FR-088,Launcher Icon Camouflage,Privacy&Concealment,FR,High,not-started,,,
FR-089,Application Name Camouflage,Privacy&Concealment,FR,High,not-started,,,
FR-090,Fake Crash Screen,Privacy&Concealment,FR,High,not-started,,,
FR-091,Fake Error Message Customization,Privacy&Concealment,FR,Low,not-started,,,
FR-092,Hidden Unlock Gesture,Privacy&Concealment,FR,High,review,,,
FR-093,Notification Masking,Privacy&Concealment,FR,High,review,,,
FR-094,Notification Category Masking,Privacy&Concealment,FR,Medium,review,,,
FR-095,Recent Apps Preview Protection,Privacy&Concealment,FR,Critical,review,,,
FR-096,Screenshot Prevention,Privacy&Concealment,FR,High,review,,,
FR-097,Shoulder Surfing Protection,Privacy&Concealment,FR,High,review,,,
FR-098,Invisible Pattern Mode,Privacy&Concealment,FR,Medium,review,,,
FR-099,Secure Keyboard Mode,Privacy&Concealment,FR,High,review,,,
FR-100,Clipboard Protection,Privacy&Concealment,FR,Medium,review,,,
FR-101,Privacy Dashboard,Privacy&Concealment,FR,Medium,review,,,
FR-102,Stealth Mode,Privacy&Concealment,FR,High,not-started,,,
FR-103,Secret Launch Methods,Privacy&Concealment,FR,High,review,,,
FR-104,Decoy Authentication,Privacy&Concealment,FR,Medium,not-started,,,
FR-105,Privacy Feature Management,Privacy&Concealment,FR,Medium,review,,,
FR-106,Secure Vault Creation,Vault,FR,Critical,implemented-verified,vault/,PHASE3 campaign,
FR-107,Vault Encryption,Vault,FR,Critical,implemented-verified,vault/,PHASE3 campaign,
FR-108,Vault Authentication,Vault,FR,Critical,implemented-verified,vault/,PHASE3 campaign; WP2 baseline API33 (docs/reports/campaigns/2026-07-22_wp2-regression-baseline_nucbox-g5.md); WP2 real-hardware API35 (docs/reports/campaigns/2026-07-23_wp2-regression_moto-g-2025.md); WP2 matrix API26/29/35-emu (docs/reports/campaigns/2026-07-23_wp2-matrix_nucbox-g5.md),"F3 self-gate verified across the matrix: f3_self_gate passed every run on API 26/29/33/35 (NucBox emulators) and API 35 (Moto G 2025, real hardware). Real devices >=API13 need a manual accessibility grant (Restricted Settings). Separately, the 2026-07-23 matrix run found an F4/OV-4 rapid-relaunch race in the LOCK ENGINE (see that report) — a different property, not this self-gate requirement."
FR-109,Photo Import,Vault,FR,High,implemented-verified,vault/,PHASE3 campaign,
FR-110,Video Import,Vault,FR,High,implemented-verified,vault/,PHASE3 campaign,
FR-111,Document Import,Vault,FR,High,implemented-verified,vault/,PHASE3 campaign,
FR-112,File Browser Integration,Vault,FR,Medium,implemented-verified,vault/,PHASE3 campaign,
FR-113,Camera-to-Vault Capture,Vault,FR,Medium,not-started,,,
FR-114,Automatic Gallery Removal,Vault,FR,High,implemented-verified,vault/,PHASE3 campaign,
FR-115,Secure File Deletion,Vault,FR,High,implemented-verified,vault/,PHASE3 campaign,
FR-116,Vault Organization,Vault,FR,Medium,not-started,,,
FR-117,Vault Search,Vault,FR,Medium,not-started,,,
FR-118,Vault File Preview,Vault,FR,Medium,implemented-verified,vault/,PHASE3 campaign,
FR-119,Vault Export,Vault,FR,Medium,implemented-verified,vault/,PHASE3 campaign,
FR-120,Vault Backup,Vault,FR,High,not-started,,,
FR-121,Vault Restore,Vault,FR,High,not-started,,,
FR-122,Vault Storage Statistics,Vault,FR,Low,review,,,
FR-123,Vault Integrity Verification,Vault,FR,High,review,,,
FR-124,Vault Session Timeout,Vault,FR,High,review,,,
FR-125,Vault Configuration Management,Vault,FR,Medium,review,,,
FR-126,Time-Based Lock Scheduling,Scheduling&Automation,FR,High,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-127,Schedule Creation,Scheduling&Automation,FR,High,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-128,Multiple Daily Time Ranges,Scheduling&Automation,FR,Medium,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-129,Day-of-Week Scheduling,Scheduling&Automation,FR,High,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-130,Date-Based Scheduling,Scheduling&Automation,FR,Medium,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-131,Wi-Fi Trusted Network Detection,Scheduling&Automation,FR,High,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-132,Wi-Fi Lock Policies,Scheduling&Automation,FR,High,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-133,Location-Based Locking,Scheduling&Automation,FR,High,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-134,Trusted Location Management,Scheduling&Automation,FR,Medium,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-135,Bluetooth Trusted Device Detection,Scheduling&Automation,FR,Medium,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-136,Charging State Automation,Scheduling&Automation,FR,Low,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-137,Device Idle Detection,Scheduling&Automation,FR,Medium,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-138,Screen State Automation,Scheduling&Automation,FR,High,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-139,Calendar-Based Lock Rules,Scheduling&Automation,FR,Low,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-140,Automation Profiles,Scheduling&Automation,FR,High,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-141,Automation Rule Priority,Scheduling&Automation,FR,High,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-142,Manual Override,Scheduling&Automation,FR,Medium,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-143,Automation Event Logging,Scheduling&Automation,FR,Medium,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-144,Intelligent Lock Recommendations,Scheduling&Automation,FR,Low,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-145,Automation Configuration Management,Scheduling&Automation,FR,Medium,not-started,,,design input: docs/process/PHASE4_PLAN.md (M4)
FR-146,Notification Management System,Notifications&UX,FR,High,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-147,Lock Event Notifications,Notifications&UX,FR,Medium,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-148,Successful Unlock Notifications,Notifications&UX,FR,Low,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-149,Failed Authentication Notifications,Notifications&UX,FR,High,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-150,Intruder Detection Notifications,Notifications&UX,FR,High,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-151,Notification Content Masking,Notifications&UX,FR,Critical,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-152,Per-Application Notification Privacy Rules,Notifications&UX,FR,High,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-153,Notification Listener Integration,Notifications&UX,FR,Critical,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-154,Notification History,Notifications&UX,FR,Medium,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-155,Security Alerts,Notifications&UX,FR,High,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-156,First-Time User Onboarding,Notifications&UX,FR,High,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-157,Permission Setup Assistant,Notifications&UX,FR,Critical,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-158,Contextual Help System,Notifications&UX,FR,Medium,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-159,Application Theme Support,Notifications&UX,FR,Medium,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-160,User Experience Configuration,Notifications&UX,FR,Medium,not-started,,,watchdog + intruder notifications exist; classify per-FR at M3
FR-161,End-to-End Local Security Architecture,SecurityRequirements,FR,Critical,review,,,encryption/lockout core verified; classify per-FR at M2 gate
FR-162,Secure Data Storage,SecurityRequirements,FR,Critical,implemented-verified,"core/security/, applocker/service/",Phase 2+3 campaigns,
FR-163,Cryptographic Key Management,SecurityRequirements,FR,Critical,review,,,encryption/lockout core verified; classify per-FR at M2 gate
FR-164,Data Encryption at Rest,SecurityRequirements,FR,Critical,implemented-verified,"core/security/, applocker/service/",Phase 2+3 campaigns,
FR-165,Secure Communication Encryption,SecurityRequirements,FR,High,review,,,encryption/lockout core verified; classify per-FR at M2 gate
FR-166,Certificate Pinning,SecurityRequirements,FR,Medium,review,,,encryption/lockout core verified; classify per-FR at M2 gate
FR-167,Root Device Detection,SecurityRequirements,FR,High,not-started,,,root/tamper detection not built
FR-168,Root Device Security Response,SecurityRequirements,FR,High,not-started,,,root/tamper detection not built
FR-169,Application Tamper Detection,SecurityRequirements,FR,High,not-started,,,root/tamper detection not built
FR-170,Debug Protection,SecurityRequirements,FR,Medium,not-started,,,root/tamper detection not built
FR-171,Screen Capture Protection,SecurityRequirements,FR,High,implemented-verified,"core/security/, applocker/service/",Phase 2+3 campaigns,
FR-172,Clipboard Security,SecurityRequirements,FR,High,review,,,encryption/lockout core verified; classify per-FR at M2 gate
FR-173,Secure Memory Handling,SecurityRequirements,FR,High,review,,,encryption/lockout core verified; classify per-FR at M2 gate
FR-174,Authentication Brute Force Protection,SecurityRequirements,FR,Critical,implemented-verified,"core/security/, applocker/service/",Phase 2+3 campaigns,
FR-175,Emergency Lock Mode,SecurityRequirements,FR,High,review,,,encryption/lockout core verified; classify per-FR at M2 gate
FR-176,Secure Backup Encryption,SecurityRequirements,FR,Critical,review,,,encryption/lockout core verified; classify per-FR at M2 gate
FR-177,Data Privacy Controls,SecurityRequirements,FR,High,review,,,encryption/lockout core verified; classify per-FR at M2 gate
FR-178,Security Audit Logs,SecurityRequirements,FR,Medium,review,,,encryption/lockout core verified; classify per-FR at M2 gate
FR-179,Permission Change Detection,SecurityRequirements,FR,Critical,implemented-verified,"core/security/, applocker/service/",Phase 2+3 campaigns,
FR-180,Security Health Monitoring,SecurityRequirements,FR,High,review,,,encryption/lockout core verified; classify per-FR at M2 gate
FR-181,Application Settings Dashboard,ApplicationSettings&ConfigurationManagement,FR,High,review,,,settings subset built; classify per-FR at M3
FR-182,Security Settings Management,ApplicationSettings&ConfigurationManagement,FR,Critical,review,,,settings subset built; classify per-FR at M3
FR-183,Privacy Settings Management,ApplicationSettings&ConfigurationManagement,FR,High,review,,,settings subset built; classify per-FR at M3
FR-184,Application Default Settings,ApplicationSettings&ConfigurationManagement,FR,Medium,review,,,settings subset built; classify per-FR at M3
FR-185,User Profile Management,ApplicationSettings&ConfigurationManagement,FR,Medium,review,,,settings subset built; classify per-FR at M3
FR-186,Profile Switching,ApplicationSettings&ConfigurationManagement,FR,High,review,,,settings subset built; classify per-FR at M3
FR-187,Theme Configuration,ApplicationSettings&ConfigurationManagement,FR,Medium,review,,,settings subset built; classify per-FR at M3
FR-188,Language Configuration,ApplicationSettings&ConfigurationManagement,FR,Medium,review,,,settings subset built; classify per-FR at M3
FR-189,Vibration and Sound Feedback Settings,ApplicationSettings&ConfigurationManagement,FR,Low,review,,,settings subset built; classify per-FR at M3
FR-190,Backup Configuration Management,ApplicationSettings&ConfigurationManagement,FR,High,review,,,settings subset built; classify per-FR at M3
FR-191,Import and Export Settings,ApplicationSettings&ConfigurationManagement,FR,High,review,,,settings subset built; classify per-FR at M3
FR-192,Factory Reset,ApplicationSettings&ConfigurationManagement,FR,Critical,review,,,settings subset built; classify per-FR at M3
FR-193,Data Management Controls,ApplicationSettings&ConfigurationManagement,FR,High,review,,,settings subset built; classify per-FR at M3
FR-194,Advanced Settings Access Control,ApplicationSettings&ConfigurationManagement,FR,High,review,,,settings subset built; classify per-FR at M3
FR-195,Configuration Validation,ApplicationSettings&ConfigurationManagement,FR,High,review,,,settings subset built; classify per-FR at M3
FR-196,Encrypted Backup Creation,Backup&RecoveryManagement,FR,Critical,not-started,,,
FR-197,Backup Encryption Protection,Backup&RecoveryManagement,FR,Critical,not-started,,,
FR-198,Automatic Backup Scheduling,Backup&RecoveryManagement,FR,High,not-started,,,
FR-199,Local Backup Storage,Backup&RecoveryManagement,FR,High,not-started,,,
FR-200,Cloud Backup Support,Backup&RecoveryManagement,FR,High,not-started,,,
FR-201,Backup Restoration,Backup&RecoveryManagement,FR,Critical,not-started,,,
FR-202,Device Migration Support,Backup&RecoveryManagement,FR,High,not-started,,,
FR-203,Backup Verification,Backup&RecoveryManagement,FR,High,not-started,,,
FR-204,Recovery Authentication,Backup&RecoveryManagement,FR,Critical,not-started,,,
FR-205,Backup Retention Management,Backup&RecoveryManagement,FR,Medium,not-started,,,
FR-206,Application Startup Performance,Performance,FR,High,not-started,,,
FR-207,Lock Detection Response Time,Performance,FR,Critical,not-started,,,
FR-208,Memory Usage Optimization,Performance,FR,High,not-started,,,
FR-209,CPU Usage Optimization,Performance,FR,High,not-started,,,
FR-210,Battery Optimization Mode,Performance,FR,High,not-started,,,
FR-211,Adaptive Background Monitoring,Performance,FR,High,not-started,,,
FR-212,Large Vault Performance,Performance,FR,Medium,not-started,,,
FR-213,Application Stability,Performance,FR,Critical,not-started,,,
FR-214,Service Recovery,Performance,FR,High,not-started,,,
FR-215,Device Compatibility,Performance,FR,Critical,not-started,,,
FR-216,Security Dashboard,AdministrationDiagnosticsMaintenance,FR,High,not-started,,,
FR-217,Security Health Assessment,AdministrationDiagnosticsMaintenance,FR,High,not-started,,,
FR-218,Permission Monitoring,AdministrationDiagnosticsMaintenance,FR,Critical,not-started,,,
FR-219,System Diagnostic Scan,AdministrationDiagnosticsMaintenance,FR,Medium,not-started,,,
FR-220,Application Event Logging,AdministrationDiagnosticsMaintenance,FR,High,not-started,,,
FR-221,Error Detection and Reporting,AdministrationDiagnosticsMaintenance,FR,High,not-started,,,
FR-222,Secure Diagnostic Export,AdministrationDiagnosticsMaintenance,FR,Medium,not-started,,,
FR-223,Maintenance Mode,AdministrationDiagnosticsMaintenance,FR,Medium,not-started,,,
FR-224,Application Repair Function,AdministrationDiagnosticsMaintenance,FR,Medium,not-started,,,
FR-225,Administrator Security Controls,AdministrationDiagnosticsMaintenance,FR,Low,not-started,,,
FR-226,Build Configuration Separation,ProductionReadiness,FR,,not-started,,,
FR-227,Secure Configuration Management,ProductionReadiness,FR,,not-started,,,
FR-228,Database Migration Management,ProductionReadiness,FR,,partial,core/database/AppLockDatabase.kt,,hand-written migrations exist; destructive fallback removal pending (ADR-007)
FR-229,Database Integrity Verification,ProductionReadiness,FR,,not-started,,,
FR-230,Background Processing,ProductionReadiness,FR,,not-started,,,
FR-231,Startup Health Check,ProductionReadiness,FR,,not-started,,,
FR-232,Dependency Validation,ProductionReadiness,FR,,not-started,,,
FR-233,Permission Verification,ProductionReadiness,FR,,not-started,,,
FR-234,Build Version Identification,ProductionReadiness,FR,,not-started,,,
FR-235,Release Validation,ProductionReadiness,FR,,not-started,,,
FR-236,Feature Flag Support,ProductionReadiness,FR,,not-started,,,
FR-237,Safe Default Configuration,ProductionReadiness,FR,,partial,,,"secure defaults as built (lock on, encryption on)"
FR-238,Configuration Validation,ProductionReadiness,FR,,not-started,,,
FR-239,Secure Error Handling,ProductionReadiness,FR,,partial,,,no internal details in user-facing errors as built; unaudited
FR-240,Graceful Failure,ProductionReadiness,FR,,not-started,,,
FR-241,Application State Recovery,ProductionReadiness,FR,,partial,,,state recovery validated in P-1/P-3 (PHASE3 campaign)
FR-242,Runtime Self-Test,ProductionReadiness,FR,,not-started,,,
FR-243,Secure Update Compatibility,ProductionReadiness,FR,,not-started,,,
FR-244,Backup Validation,ProductionReadiness,FR,,not-started,,,
FR-245,Restore Validation,ProductionReadiness,FR,,not-started,,,
FR-246,Production Logging Configuration,ProductionReadiness,FR,,not-started,,,
FR-247,Dependency Inventory,ProductionReadiness,FR,,not-started,,,
FR-248,Release Checklist Enforcement,ProductionReadiness,FR,,not-started,,,
FR-249,Production Readiness Verification,ProductionReadiness,FR,,not-started,,,
FR-250,Production Acceptance Gate,ProductionReadiness,FR,,not-started,,,
FR-251,Automatic Service Recovery,OperationalResilience,FR,,not-started,,,
FR-252,Foreground Service Monitoring,OperationalResilience,FR,,not-started,,,
FR-253,Accessibility Service Recovery,OperationalResilience,FR,,partial,applocker/service/ProtectionWatchdogService.kt,,watchdog revocation alert exists (FR-179 lineage)
FR-254,Notification Service Recovery,OperationalResilience,FR,,not-started,,,
FR-255,Permission Change Detection,OperationalResilience,FR,,not-started,,,
FR-256,Graceful Degradation,OperationalResilience,FR,,not-started,,,
FR-257,Transaction Rollback,OperationalResilience,FR,,not-started,,,
FR-258,Interrupted Encryption Recovery,OperationalResilience,FR,,not-started,,,
FR-259,Secure Temporary File Cleanup,OperationalResilience,FR,,not-started,,,
FR-260,Startup Recovery,OperationalResilience,FR,,not-started,,,
FR-261,Unexpected Shutdown Recovery,OperationalResilience,FR,,not-started,,,
FR-262,Database Recovery,OperationalResilience,FR,,not-started,,,
FR-263,Backup Recovery,OperationalResilience,FR,,not-started,,,
FR-264,Configuration Recovery,OperationalResilience,FR,,not-started,,,
FR-265,Retry Policy,OperationalResilience,FR,,not-started,,,
FR-266,Resource Exhaustion Protection,OperationalResilience,FR,,not-started,,,
FR-267,Storage Capacity Monitoring,OperationalResilience,FR,,not-started,,,
FR-268,Watchdog Monitoring,OperationalResilience,FR,,not-started,,,
FR-269,Self-Diagnostics,OperationalResilience,FR,,not-started,,,
FR-270,Recovery Logging,OperationalResilience,FR,,not-started,,,
FR-271,Safe Mode Operation,OperationalResilience,FR,,not-started,,,
FR-272,Security Policy Preservation,OperationalResilience,FR,,not-started,,,
FR-273,Recovery Verification,OperationalResilience,FR,,not-started,,,
FR-274,Failure Notification,OperationalResilience,FR,,not-started,,,
FR-275,Operational Readiness Confirmation,OperationalResilience,FR,,not-started,,,
FR-276,Structured Logging,Observability&Monitoring,FR,,not-started,,,
FR-277,Security Audit Logging,Observability&Monitoring,FR,,not-started,,,
FR-278,Performance Metrics Collection,Observability&Monitoring,FR,,not-started,,,
